ques,skill
9157,132
2877,115
10500,69
7414,69
858,132
8967,20
996,10
4613,5
1671,77
9905,148
5104,154
3156,74
8652,16
9763,16
3165,132
6552,95
7928,145
4240,136
11537,75
5902,111
1565,14
4952,171
9663,32
5855,90
9448,20
9397,69
10602,84
5631,11
8827,46
1739,69
10530,136
1672,10
6736,79
3513,136
3001,92
1448,57
311,127
1738,134
1980,79
6195,48
2204,99
4462,154
4837,71
5268,135
5049,79
4267,134
8284,69
3256,145
3346,111
1975,136
8445,182
3228,79
1968,90
2421,11
5048,0
7062,10
3905,6
76,124
6653,90
10557,154
703,161
11269,69
6279,26
9624,144
11481,39
8128,145
10584,151
5712,11
8019,105
7544,71
250,29
3165,25
3151,90
3481,74
6591,75
9643,11
2058,135
899,16
168,38
3805,90
8277,116
3097,11
5295,151
8542,136
3585,159
6921,79
268,167
3248,151
7054,92
5630,79
3010,105
4629,28
2892,69
3300,90
5212,123
8959,29
1011,90
1686,7
11563,187
1107,180
1538,6
3204,166
6064,10
8497,167
2526,136
5305,154
6740,69
5187,90
878,136
10614,151
8217,145
1461,151
100,159
3170,81
2084,64
3516,69
8758,99
6672,75
11420,132
1488,106
8629,53
1414,134
4545,151
4821,11
8838,90
904,90
1542,29
1194,167
11253,151
6111,6
6585,81
1043,167
6504,31
10343,145
8405,82
1190,101
4321,116
11348,26
11334,29
9177,26
5669,90
6489,143
6244,167
9349,75
11603,61
3007,69
4534,18
6836,82
2859,82
5156,65
9851,156
8074,136
6718,26
2741,90
9415,79
9385,136
789,136
3566,46
6441,95
5729,99
5971,154
9640,105
3964,52
2003,44
10177,134
3447,31
5818,154
10581,136
5254,152
3298,79
9460,46
9725,158
11723,136
3369,136
5975,151
9247,25
9118,71
10694,101
3887,59
7668,2
985,109
10028,145
11115,134
2466,6
4659,90
9317,39
9762,148
2010,136
6433,33
11755,71
1938,44
5721,69
3025,31
3103,44
2907,31
4796,167
8495,101
10645,148
1787,180
2883,167
5600,136
9946,156
9688,132
4012,145
8484,63
4808,90
9148,6
5472,33
789,29
10866,136
4129,99
3593,136
802,11
7699,132
10296,69
1429,94
8540,20
9589,31
10443,135
8839,187
9005,79
2725,46
9692,143
3670,136
3730,53
4745,148
8020,29
6330,136
3540,123
8724,94
2663,69
6933,69
1029,62
1963,176
8486,136
8359,154
9060,101
5527,136
1100,69
6628,90
8608,6
7317,16
3658,151
4526,131
