ques,skill
26455,247
21753,110
17928,71
17098,90
26397,58
8020,173
10287,236
17017,106
19695,205
13730,1
7427,245
25096,41
6659,287
15075,294
3113,95
5129,255
16504,113
1811,295
26248,180
1882,144
22935,57
11477,224
293,11
23532,27
19566,39
18630,259
15638,74
6975,189
6373,235
4910,228
13771,128
3258,235
23360,74
24462,245
10906,172
10265,92
20081,72
23730,30
2157,266
1819,90
6950,166
8367,161
2470,56
25739,50
12087,205
19496,143
18615,95
24865,57
17673,35
15367,242
6755,40
13722,43
10991,71
10320,120
23705,55
16266,104
5524,105
8630,121
4024,39
1258,231
23563,159
10239,110
22319,96
1689,39
5078,61
5804,247
3322,1
20150,204
2900,95
8354,89
23663,196
10769,274
16270,95
892,254
2980,102
8100,95
17581,182
2096,240
7544,71
9293,229
7108,144
6900,274
5167,250
2049,95
9327,58
8942,28
22905,29
22725,266
16118,182
574,259
10527,122
15011,102
7729,110
23063,39
17623,274
17745,224
5620,284
9457,87
12348,64
24432,89
24072,154
19493,95
6485,8
2593,70
17384,294
22391,189
1480,277
23303,56
21494,105
8768,41
12124,90
405,236
25073,90
20735,95
16947,286
16435,50
1945,286
17470,78
10031,67
19046,92
24590,224
22489,79
21938,255
13694,210
14035,242
2411,171
22048,90
18380,160
10044,189
87,173
9075,255
3360,219
18498,275
375,150
13702,257
16018,270
16742,234
3915,56
9565,273
11224,101
16999,39
24316,182
2088,274
22507,155
22674,235
136,36
21490,269
13322,30
8628,98
8231,7
10840,36
8690,231
10080,164
20523,239
8325,95
20788,249
9344,25
2338,40
12989,297
11865,71
6287,166
8396,164
20044,190
16764,56
9477,228
24537,236
3667,197
13140,137
15419,254
1203,75
5588,278
14413,6
13296,278
174,250
21950,127
4358,95
4457,144
22990,297
10303,8
24403,19
2062,57
25820,278
20687,252
22595,104
13024,93
8574,96
8251,79
9593,56
194,134
14277,198
14300,105
23151,234
26145,21
4721,105
3867,153
10623,240
19466,89
24754,1
17666,122
18797,235
12264,259
22180,39
16822,56
5043,29
23244,237
8933,76
9341,95
26335,44
6923,87
1983,153
6752,227
23391,255
26420,302
6353,104
19077,235
12046,25
